County,Adjustment
Armstrong,1.000190
Briscoe,1.000090
Carson,1.000190
Castro,1.000130
Childress,1.000090
Collinsworth,1.000190
Dallam,1.000130
Deaf Smith,1.000190
Donley,1.000190
Gray,1.000190
Hall,1.000090
Hansford,1.000130
Hartley,1.000190
Hemphill,1.000190
Hutchison,1.000190
Lipscomb,1.000130
Moore,1.000190
Ochiltree,1.000130
Oldham,1.000190
Parmer,1.000130
Potter,1.000190
Randall,1.000190
Roberts,1.000190
Sherman,1.000130
Swisher,1.000130
Wheeler,1.000190
Andrews,1.000210
Archer,1.000120
Bailey,1.000120
Baylor,1.000120
Borden,1.000210
Bowie,1.000120
Callahan,1.000120
Camp,1.000120
Cass,1.000120
Clay,1.000060
Cochran,1.000210
Collin,1.000152710
Cooke,1.000120
Cottle,1.000060
Crosby,1.000210
Dallas,1.000136506
Dawson,1.000210
Delta,1.000120
Denton,1.000150630
Dickens,1.000210
Eastland,1.000120
Ellis,1.000072449
Erath,1.000060
Fannin,1.000120
Fisher,1.000210
Floyd,1.000090
Foard,1.000060
Franklin,1.000120
Gaines,1.000210
Garza,1.000210
Grayson,1.000120
Gregg,1.000120
Hale,1.000120
Hardeman,0.999940
Harrison,1.000120
Haskell,1.000120
Henderson,1.000060
Hill,0.999976
Hockley,1.000210
Hood,1.000120
Hopkins,1.000120
Howard,1.000120
Hunt,1.000120
Jack,1.000120
Johnson,1.000120
Jones,1.000120
Kaufman,1.000114077
Kent,1.000210
King,1.000120
Knox,1.000120
Lamar,1.000120
Lamb,1.000120
Lubbock,1.000210
Lynn,1.000210
Marion,1.000120
Martin,1.000210
Mitchell,1.000120
Montague,1.000120
Morris,1.000120
Motley,1.000080
Navarro,1.000039395
Nolan,1.000120
Palo Pinto,1.000120
Panola,1.000060
Parker,1.000120
Rains,1.000120
Red River,1.000120
Rockwall,1.000146135
Rusk,0.999976
Scurry,1.000210
Shackleford,1.000120
Smith,1.000120
Somervell,1.000060
Stephens,1.000120
Stonewall,1.000210
Tarrant,1.000120
Taylor,1.000120
Terry,1.000210
Throckmorton,1.000120
Titus,1.000120
Upshur,1.000120
Van Zandt,1.000120
Wichita,1.000060
Wilbarger,0.999976
Wise,1.000120
Wood,1.000120
Yoakum,1.000210
Young,1.000120
Anderson,1.000030
Angelina,1.000120
Bastrop,1.000030
Bell,1.000120
Blanco,1.000100
Bosque,1.000030
Brazos,1.000120
Brown,1.000100
Burleson,1.000120
Burnet,1.000120
Cherokee,1.000030
Coke,1.000120
Coleman,1.000100
Comanche,1.000030
Concho,1.000200
Coryell,1.000120
Crane,1.000200
Crockett,1.000200
Culberson,1.000250
Ector,1.000120
El Paso,1.000231
Falls,1.000120
Freestone,1.000030
Gillespie,1.000120
Glasscock,1.000120
Grimes,1.000120
Hamilton,1.000010
Hardin,1.000030
Houston,1.000120
Hudspeth,1.000250
Irion,1.000200
Jasper,1.000120
Jeff Davis,1.000200
Kimble,1.000120
Lampasas,1.000120
Lee,1.000030
Leon,1.000120
Liberty,1.000030
Limestone,1.000120
Llano,1.000120
Loving,1.000120
Madison,1.000120
Mason,1.000120
McCulloch,1.000120
McLennan,1.000120
Menard,1.000200
Midland,1.000120
Milam,1.000120
Millis,1.000120
Montgomery,1.000030
Nacogdoches,1.000120
Newton,1.000120
Orange,1.000030
Pecos,1.000200
Polk,1.000120
Reagan,1.000200
Reeves,1.000200
Robertson,1.000120
Runnels,1.000120
Sabine,1.000120
San Augustine,1.000120
San Jacinto,1.000120
San Saba,1.000120
Scheicher,1.000200
Shelby,1.000030
Sterling,1.000120
Sutton,1.000120
Tom Green,1.000200
Travis,1.000100
Trinity,1.000120
Tyler,1.000120
Upton,1.000200
Walker,1.000120
Ward,1.000200
Washington,1.000030
Williamson,1.000120
Winkler,1.000120
Aransas,0.999894
Atascosa,1.000130
Austin,1.000130
Bandera,1.000180
Bee,1.000000
Bexar,1.000170
Brazoria,1.000130
Brewster,1.000200
Caldwell,1.000130
Calhoun,1.000000
Chambers,1.000130
Colorado,1.000130
Comal,1.000160
DeWitt,1.000130
Dimmit,1.000000
Edwards,1.000130
Fayette,1.000130
Fort Bend,1.000130
Frio,1.000130
Galveston,1.000130
Goliad,1.000070
Gonzales,1.000130
Guadalupe,1.000150
Harris,1.000130
Hays,1.000130
Jackson,1.000130
Jefferson,1.000070
Karnes,1.000130
Kendall,1.000150
Kerr,1.000150
Kinney,1.000130
La Salle,1.000000
Lavaca,1.000130
Live Oak,1.000000
Matagorda,1.000130
Maverick,1.000070
McMullen,1.000040
Medina,1.000170
Presidio,1.000200
Real,1.000130
Refugio,1.000000
Terrell,1.000130
Uvalde,1.000170
Val Verde,1.000130
Victoria,1.000130
Waller,1.000130
Wharton,1.000130
Wilson,1.000150
Zavala,1.000130
Brooks,1.000040
Cameron,0.999960
Duval,1.000040
Hidalgo,1.000040
Jim Hogg,1.000040
Jim Wells,1.000040
Kenedy,1.000040
Kleberg,1.000040
Nueces,1.000040
San Patricio,0.999960
Starr,1.000040
Webb,1.000030
Willacy,1.000040
Zapata,1.000040
